,word,topic_id,importance,word_count
0,perintah,0,0.024322789162397385,49
1,korupsi,0,0.01606961525976658,25
2,proses,0,0.013535848818719387,29
3,informasi,0,0.012900113128125668,32
4,usaha,0,0.011630778200924397,29
5,sikap,0,0.011629286222159863,18
6,kerja,0,0.011628632433712482,48
7,barangjasa,0,0.01099738571792841,18
8,semarang,0,0.010994958691298962,17
9,kpk,0,0.007823878899216652,18
10,tangerang,1,0.020900046452879906,28
11,kota,1,0.018689991906285286,36
12,kerja,1,0.017953375354409218,48
13,jalan,1,0.017949432134628296,24
14,layan,1,0.01573915034532547,24
15,tol,1,0.015736469998955727,21
16,online,1,0.014265613630414009,23
17,aplikasi,1,0.010576216503977776,25
18,duduk,1,0.00836084596812725,15
19,izin,1,0.008359941653907299,11
20,bayar,2,0.02209995500743389,21
21,beli,2,0.022082282230257988,23
22,vendor,2,0.016373833641409874,15
23,biaya,2,0.011814441531896591,15
24,jual,2,0.01180211640894413,14
25,saku,2,0.010658379644155502,9
26,anggar,2,0.009517395868897438,14
27,elektronik,2,0.00837791245430708,15
28,fjb,2,0.0083744116127491,7
29,ktp,2,0.007235213182866573,7
