1|1|Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang.,,,,,,,,,,,,,
1|2|Segala puji bagi Allah,,,,,,,,,,,,,
1|3|Maha Pemurah lagi Maha Penyayang.,,,,,,,,,,,,,
1|4|Yang menguasai di Hari Pembalasan.,,,,,,,,,,,,,
1|5|Hanya Engkaulah yang kami sembah,,,,,,,,,,,,,
1|6|Tunjukilah kami jalan yang lurus,,,,,,,,,,,,,
1|7|(yaitu) Jalan orang-orang yang telah Engkau beri nikmat kepada mereka; bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat.,,,,,,,,,,,,,
2|1|Alif laam miim.,,,,,,,,,,,,,
2|2|Kitab (Al Quran) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,,,,,,,,,,,,,
2|3|(yaitu) mereka yang beriman kepada yang ghaib,,,,,,,,,,,,,
2|4|dan mereka yang beriman kepada Kitab (Al Quran) yang telah diturunkan kepadamu dan Kitab-kitab yang telah diturunkan sebelummu,,,,,,,,,,,,,
2|5|Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka,,,,,,,,,,,,,
2|6|Sesungguhnya orang-orang kafir, mereka tidak juga akan beriman.,,,,,,,,,,,,
2|7|Allah telah mengunci-mati hati dan pendengaran mereka,,,,,,,,,,,,,
"2|8|Di antara manusia ada yang mengatakan: ""Kami beriman kepada Allah dan Hari kemudian",,,,,,,,,,,,,
2|12|Ingatlah,,,,,,,,,,,,,
"2|13|Apabila dikatakan kepada mereka: ""Berimanlah kamu sebagaimana orang-orang lain telah beriman"". Mereka menjawab: ""Akan berimankah kami sebagaimana orang-orang yang bodoh itu telah beriman?"" Ingatlah",,,,,,,,,,,,,
2|14|Dan bila mereka berjumpa dengan orang-orang yang beriman," kami hanyalah berolok-olok"".",,,,,,,,,,,,
2|15|Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,,,,,,,,,,,,,
2|16|Mereka itulah orang yang membeli kesesatan dengan petunjuk,,,,,,,,,,,,,
2|17|Perumpamaan mereka adalah seperti orang yang menyalakan api, tidak dapat melihat.,,,,,,,,,,,,
2|18|Mereka tuli,,,,,,,,,,,,,
2|19|atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita, sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir.,,,,,,,,,,,,
2|20|Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka, mereka berhenti. Jikalau Allah menghendaki, niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu.,,,,,,,,,,,
2|21|Hai manusia,,,,,,,,,,,,,
2|22|Dialah yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap, padahal kamu mengetahui.,,,,,,,,,,,,
2|23|Dan jika kamu (tetap) dalam keraguan tentang Al Quran yang Kami wahyukan kepada hamba Kami (Muhammad),,,,,,,,,,,,,
2|24|Maka jika kamu tidak dapat membuat(nya) -- dan pasti kamu tidak akan dapat membuat(nya),,,,,,,,,,,,,
2|25|Dan sampaikanlah berita gembira kepada mereka yang beriman dan berbuat baik,,,,,,,,,,,,,
2|26|Sesungguhnya Allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu. Adapun orang-orang yang beriman, dan dengan perumpamaan itu (pula) banyak orang yang diberi-Nya petunjuk. Dan tidak ada yang disesatkan Allah kecuali orang-orang yang fasik,,,,,,,,,,,,
2|27|(yaitu) orang-orang yang melanggar perjanjian Allah sesudah perjanjian itu teguh,,,,,,,,,,,,,
2|28|Mengapa kamu kafir kepada Allah, kemudian kamu dimatikan dan dihidupkan-Nya kembali, kemudian kepada-Nya-lah kamu dikembalikan?,,,,,,,,,,,
2|29|Dialah Allah,,,,,,,,,,,,,
"2|30|Ingatlah ketika Tuhanmu berfirman kepada para Malaikat: ""Sesungguhnya Aku hendak menjadikan seorang khalifah di muka bumi"". Mereka berkata: ""Mengapa Engkau hendak menjadikan (khalifah) di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah",,,,,,,,,,,,,
2|31|Dan Dia mengajarkan kepada Adam nama-nama (benda-benda) seluruhnya,,,,,,,,,,,,,
"2|32|Mereka menjawab: ""Maha Suci Engkau",,,,,,,,,,,,,
"2|33|Allah berfirman: ""Hai Adam"," bahwa sesungguhnya Aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan?""",,,,,,,,,,,,
"2|34|Dan (ingatlah) ketika Kami berfirman kepada para malaikat: ""Sujudlah kamu kepada Adam", dan makanlah makanan-makanannya yang banyak lagi baik dimana saja yang kamu sukai, dan janganlah kamu dekati pohon ini, yang menyebabkan kamu termasuk orang-orang yang zalim.,,,,,,,,,,
"2|36|Lalu keduanya digelincirkan oleh syaitan dari surga itu dan dikeluarkan dari keadaan semula dan Kami berfirman: ""Turunlah kamu! sebagian kamu menjadi musuh bagi yang lain",,,,,,,,,,,,,
2|37|Kemudian Adam menerima beberapa kalimat dari Tuhannya,,,,,,,,,,,,,
"2|38|Kami berfirman: ""Turunlah kamu semuanya dari surga itu! Kemudian jika datang petunjuk-Ku kepadamu"," dan tidak (pula) mereka bersedih hati"".",,,,,,,,,,,,
2|39|Adapun orang-orang yang kafir dan mendustakan ayat-ayat Kami,,,,,,,,,,,,,
2|40|Hai Bani Israil, niscaya Aku penuhi janji-Ku kepadamu; dan hanya kepada-Ku-lah kamu harus takut (tunduk).,,,,,,,,,,,,
2|41|Dan berimanlah kamu kepada apa yang telah Aku turunkan (Al Quran) yang membenarkan apa yang ada padamu (Taurat), dan hanya kepada Akulah kamu harus bertakwa.,,,,,,,,,,,,
2|42|Dan janganlah kamu campur adukkan yang hak dengan yang bathil dan janganlah kamu sembunyikan yang hak itu,,,,,,,,,,,,,
2|43|Dan dirikanlah shalat,,,,,,,,,,,,,
2|44|Mengapa kamu suruh orang lain (mengerjakan) kebaktian,,,,,,,,,,,,,
2|45|Jadikanlah sabar dan shalat sebagai penolongmu. Dan sesungguhnya yang demikian itu sungguh berat,,,,,,,,,,,,,
2|46|(yaitu) orang-orang yang meyakini,,,,,,,,,,,,,
2|47|Hai Bani Israil,,,,,,,,,,,,,
2|48|Dan jagalah dirimu dari (azab) hari (kiamat, dan tidaklah mereka akan ditolong.,,,,,,,,,,,,
2|49|Dan (ingatlah) ketika Kami selamatkan kamu dari (Fir´aun) dan pengikut-pengikutnya; mereka menimpakan kepadamu siksaan yang seberat-beratnya,,,,,,,,,,,,,
2|50|Dan (ingatlah),,,,,,,,,,,,,
2|51|Dan (ingatlah), lalu kamu menjadikan anak lembu (sembahan) sepeninggalnya dan kamu adalah orang-orang yang zalim.,,,,,,,,,,,,
2|52|Kemudian sesudah itu Kami maafkan kesalahanmu,,,,,,,,,,,,,
2|53|Dan (ingatlah),,,,,,,,,,,,,
2|54|Dan (ingatlah)," maka bertaubatlah kepada Tuhan yang menjadikan kamu dan bunuhlah dirimu. Hal itu adalah lebih baik bagimu pada sisi Tuhan yang menjadikan kamu; maka Allah akan menerima taubatmu. Sesungguhnya Dialah Yang Maha Penerima taubat lagi Maha Penyayang"".",,,,,,,,,,,,
2|55|Dan (ingatlah), karena itu kamu disambar halilintar," sedang kamu menyaksikannya"".",,,,,,,,,,,
2|56|Setelah itu Kami bangkitkan kamu sesudah kamu mati,,,,,,,,,,,,,
2|57|Dan Kami naungi kamu dengan awan,,,,,,,,,,,,,
